benchmark,DDR3_1600_8x8-Simple,DDR3_1600_8x8-DefaultO3
505.mcf_r,0.999963,0.999921
510.parest_r,0.999914,0.999894
523.xalancbmk_r,0.999845,0.0
531.deepsjeng_r,0.999917,0.0
541.leela_r,0.999871,0.999746
605.mcf_s,0.999963,0.999921
623.xalancbmk_s,0.999846,0.0
631.deepsjeng_s,0.999989,0.0
641.leela_s,0.999872,0.999746
