benchmark,DDR3_1600_8x8-Simple,DDR3_1600_8x8-DefaultO3
505.mcf_r,0.43527,0.134428
510.parest_r,0.336971,0.278222
523.xalancbmk_r,0.021517,0.294286
531.deepsjeng_r,0.999674,0.609833
541.leela_r,0.139736,0.29082
605.mcf_s,0.43527,0.134795
623.xalancbmk_s,0.021466,0.267141
631.deepsjeng_s,0.999967,0.605148
641.leela_s,0.139642,0.265896
