benchmark,DDR3_1600_8x8-Simple,DDR3_1600_8x8-DefaultO3
505.mcf_r,34249890.0,5600.0
510.parest_r,5670951.0,5538.0
523.xalancbmk_r,708483.0,5454.0
531.deepsjeng_r,11438847.0,5061.0
541.leela_r,487244.0,5696.0
605.mcf_s,34249890.0,5594.0
623.xalancbmk_s,709843.0,5673.0
631.deepsjeng_s,112688719.0,4961.0
641.leela_s,487653.0,5704.0
