benchmark,DDR3_1600_8x8-Simple,DDR3_1600_8x8-DefaultO3
505.mcf_r,0.16868,0.192155
510.parest_r,0.054027,0.071016
523.xalancbmk_r,0.124704,0.0
531.deepsjeng_r,0.680075,0.0
541.leela_r,0.391565,0.391317
605.mcf_s,0.16868,0.192155
623.xalancbmk_s,0.123348,0.0
631.deepsjeng_s,0.510339,0.0
641.leela_s,0.391115,0.391516
