benchmark,DDR3_1600_8x8-Simple,DDR3_1600_8x8-DefaultO3
505.mcf_r,0.999972,0.999945
510.parest_r,0.999926,0.999873
523.xalancbmk_r,0.999888,0.0
531.deepsjeng_r,0.999931,0.0
541.leela_r,0.99991,0.999781
605.mcf_s,0.999972,0.999945
623.xalancbmk_s,0.999889,0.0
631.deepsjeng_s,0.999989,0.0
641.leela_s,0.99991,0.99978
