benchmark,DDR3_1600_8x8-Simple,DDR3_1600_8x8-DefaultO3
505.mcf_r,0.831283,0.807766
510.parest_r,0.945887,0.928878
523.xalancbmk_r,0.875141,0.0
531.deepsjeng_r,0.319841,0.0
541.leela_r,0.608306,0.608429
605.mcf_s,0.831283,0.807766
623.xalancbmk_s,0.876498,0.0
631.deepsjeng_s,0.489649,0.0
641.leela_s,0.608757,0.60823
