benchmark,DDR3_1600_8x8-Simple,DDR3_1600_8x8-DefaultO3
505.mcf_r,0.751555,0.752204
510.parest_r,0.873443,0.870277
523.xalancbmk_r,0.158544,0.0
531.deepsjeng_r,0.999939,0.0
541.leela_r,0.831517,0.825085
605.mcf_s,0.751555,0.752204
623.xalancbmk_s,0.147653,0.0
631.deepsjeng_s,0.999994,0.0
641.leela_s,0.831829,0.825196
