benchmark,DDR3_1600_8x8-Simple,DDR3_1600_8x8-DefaultO3
505.mcf_r,0.06661,0.110702
510.parest_r,0.014815,0.028589
523.xalancbmk_r,0.040157,0.0
531.deepsjeng_r,0.063356,0.0
541.leela_r,0.000235,0.000456
605.mcf_s,0.06661,0.110702
623.xalancbmk_s,0.040407,0.0
631.deepsjeng_s,0.062519,0.0
641.leela_s,0.000237,0.000464
